track_id,Name,ai_length,ai_indoor,ai_outdoor,reasoning
1974,Club Straight,,False,False,"The provided WEBSITE CONTENT is for 'Highland Club Scotland', a self-catering holiday apartment complex, and does not mention 'Club Straight' or any karting facility. The 'CUSTOMER REVIEWS' section was empty. Therefore, no data about a karting track could be extracted."
188,Indy Kart,550.0,True,False,"The website explicitly states: 'Der Rundkurs auf Industrieboden ist ca. 550 m lang und führt über Tunnel und Rampen durch zwei Hallen.' Reviews confirm it is an indoor track and describe it as 'varied' and 'quite long', supporting the website's claims."
2340,Mini Racing Team Uden,,True,False,"Customer reviews mention 'slot car racing' which implies an indoor track. The reviews state 'they have two great tracks', both for slot car racing. No information regarding track length or whether they are multilevel. The website content provided is empty, leading to low confidence as the information is scarce and specific to slot car tracks, not explicitly karting tracks."
189,AMC Ehingen,,False,True,"The website mentions 'WINTERPAUSE' (winter break) and 'Saisonbeginn ist wieder im März 2026!' (Season starts again in March 2026!), along with 'Aktuelle Tagesinfos - wie bei schlechtem Wetter', which strongly indicates an outdoor track operating seasonally. No explicit track length is provided on the website. The review mentions 'cool little ride' but gives no specific measurements. There is no information in either source to suggest a multilevel track, so it's assumed to be single-level."
660,Selest’Kart-IN,300.0,True,False,The website explicitly states: 'Une piste couverte de 300 mètres agrée par la Fédération Française de Sport Automobile'. The term 'couverte' confirms it is indoor. There is no mention of an outdoor or multi-level track.
1919,TeamSport Watford,500.0,True,False,The website explicitly states '500m track' multiple times and refers to 'indoor go-karting' and a track 'stretches across two intense levels' or 'Multi-Level track'. Customer reviews also mention 'dual level' or 'circuit was over two floors' and imply an indoor setting ('inside large space'). There is no mention of an outdoor track.
2349,Salle Odette Simonneau,,True,False,"The customer review describes the location as a 'multi-purpose room with a space dedicated to cultural events', which implies an indoor facility. No specific details about a karting track, its length, or features were provided in either the (empty) website content or the review itself. The attribution of 'karting facility' relies solely on the prompt's premise, as the content provided does not support it directly."
2015,Go Karts,,True,False,"Track length and multilevel information is not available in the provided website content or customer reviews. 'is_indoor' is confirmed by a review explicitly stating 'indoors so brilliant in wet weather'. 'is_outdoor' is set to false as no mention of an outdoor track is found, and the 'indoors' comment suggests it's an indoor-only facility."
724,Karting Cap Malo,,True,False,"The website repeatedly states 'Piste indoor' and 'Karting indoor', and mentions 'toujours au sec' (always dry). No outdoor track is mentioned. No specific track length was provided in either source. The website mentions 'La piste en 3D', which could imply a multi-level design or simply a virtual representation; due to this ambiguity and lack of explicit confirmation, 'is_multilevel' is set to false with medium confidence."
685,Funlab,,True,False,"The website mentions 'electric karts' and 'daily cleaning of the track and karts', which implies a controlled indoor environment. Customer reviews explicitly describe an 'augmented reality go-kart track' ('BattleKart') where the track 'transforms', a concept that requires an indoor setting for projection technology. This strong evidence for an indoor track and the nature of the activity implies it is not outdoor. There is no information in either source to suggest the track is multilevel or to provide a specific length in meters. The confidence for indoor/outdoor is high, while for length and multilevel it is low due to lack of explicit data."
1836,G-Force Karting,500.0,False,True,The Website Content explicitly states 'G-force Karting is an outdoor karting circuit that measures 500m (approx) in length' and refers to itself as 'South Wales Premier Outdoor Karting Venue'. Customer reviews indirectly support it being outdoor by mentioning 'weather dried up'. There is no mention of the track being multilevel in either source.
1928,Pedal Karts,,True,False,"No specific track length is mentioned. The facility is described as using 'virtual scenery and bonuses projected on the ground' and reviews confirm 'the virtual floor'. This, combined with year-round opening hours, a lack of helmet requirement, and descriptions of a 'center' with seminar rooms and arcade areas, strongly indicates an indoor facility. There is no mention of outdoor or multi-level tracks."
2,A15 Karting,,True,False,"Track length is not mentioned in either source. Reviews explicitly state '2 floors' and 'a level', indicating a multilevel indoor track. No information suggests an outdoor component."
1,Karting: Circuit Park Berghem,,False,True,"The website explicitly mentions 'OUTDOOR KARTEN' and 'OUTDOOR RACE CIRCUIT'. Customer reviews also refer to it as a 'great outdoor track'. There is no mention of track length, indoor facilities, or a multilevel layout in either source."
2358,Esport Virtual Arena,,True,False,"The provided content describes 'Esport Virtual Arena' as a VR arena, not a physical karting facility. It mentions 'arènes de 500 m²' which refers to the area of the physical space for the VR experience, not a track length. The facility is consistently referred to as an 'Esport VR room' ('salle d'Esport VR') and an 'arena', indicating it is an indoor venue. There is no mention of outdoor activities or multiple physical levels; the description 'déplacez vous sur toute la surface disponible' suggests a single, open level for free movement within the arena."
47,SHW - Kartbaan Strijen,650.0,False,True,"The website explicitly states the track length as '650 meter'. The website mentions 'het complete asfalt vervangen' and is open 'op zaterdag en zondag', which strongly indicates an outdoor track. There is no information in either source to suggest an indoor or multilevel track."
